Sediqullah Atal
Priyansh Arya
Swapnil Singh
Aniket Verma
Basil Thampi
K L Rahul
Mohd Arshad Khan
Jason Holder
Gulbadin Naib
Mayank Agarwal
Naveen-ul-Haq
Anrich Nortje
Shivam Mavi
Ravi Bishnoi
Maheesh Theekshana
Will Jacks
Jake Fraser-McGurk
Murugan Ashwin
Rilee Rossouw
Fabian Allen
Yash Dhull
Abhishek Sharma
Prince Yadav
Travis Head
Arshin Atul Kulkarni
Nandre Burger
Rovman Powell
Andrew Tye
Nathan Ellis
Abhijeet Tomar
Axar Patel
Navdeep Saini
Washington Sundar
Sumit Kumar
Rahul Tewatia
N Tilak Varma
Musheer Khan
Avesh Khan
Mayank Dagar
Suryansh Shedge
Mukesh Choudhary
Heinrich Klaasen
Kieron Pollard
Kwena Maphaka
Jamie Overton
Rahul Tripathi
Simran Singh
Sunil Narine
Pravin Dubey
Lizaad Williams
Mukesh Kumar
Shikhar Dhawan
Sandeep Sharma
Karn Sharma
Pat Cummins
Tristan Stubbs
Dinesh Karthik
Varun Aaron
Tymal Mills
Ayush Mhatre
Pradeep Sangwan
Mohit Rathee
David Miller
Shubham Dubey
Shardul Thakur
Rahul Chahar
Kuldip Yadav
Rajangad Bawa
Rishi Dhawan
Shivam Dube
Spencer Johnson
Arshdeep Singh
Lockie Ferguson
Kamlesh Nagarkoti
Nuwan Thushara
Ripal Patel
Sarfaraz Khan
Mark Wood
Lungisani Ngidi
Srikar Bharat
Mitch Owen
Kumar Kushagra
Sai Sudharsan
Kusal Mendis
Anuj Rawat
Virat Kohli
Shivam Singh
Ajinkya Rahane
Xavier Bartlett
Josh Inglis
Noor Ahmad
Madhav Tiwari
Jhye Richardson
Shreyas Iyer
Tushar Deshpande
Kyle Mayers
Vaibhav Suryavanshi
Urvil Patel
Ricky Bhui
Kane Williamson
Lalit Yadav
Vignesh Puthur
Wanindu Hasaranga
Tom Kohler- Cadmore
Ashutosh Sharma
Jayant Yadav
Naveen-Ul-Haq
Nehal Wadhera
Nehal Wadera
Rajat Patidar
Tim David
Jitesh Sharma
Jonny Bairstow
Ravindra Jadeja
Vaibhav Arora
Karun Nair
Ruturaj  Gaikwad
Manan Vohra
Adam Milne
Himanshu Sharma
Robin Minz
Dhruv Jurel
Gerald Coetzee
Matthew Short
Obed McCoy
Harpreet Brar
Riyan Parag
Nicholas Pooran
Sanvir Singh
Abdul Samad
Kuldeep Yadav
Riley Meredith
Donovan Ferreira
Odean Smith
Varun Chakaravarthy
Amit Mishra
Chetan Sakariya
Deepak Chahar
Umran Malik
Anshul Kamboj
Shamar Joseph
Yashasvi Jaiswal
Mayank Yadav
Alzarri Joseph
Ambati Rayudu
Suryakumar Yadav
Vishnu Vinod
Kedar Jadhav
Nathan Coulter-Nile
M Siddharth
Shubman Gill
Kartik Tyagi
Suyash Sharma
Rachin Ravindra
Matthew Wade
Mohsin Khan
Kumar Kartikeya Singh
Surya Kumar Yadav
Manoj Bhandage
David Wiese
Corbin Bosch
Tilak Varma
Hardik Pandya
Robin Uthappa
Jake Fraser - McGurk
Daryl Mitchell
Matt Henry
Manish Pandey
Glenn Maxwell
Vivrant Sharma
Aaron Finch
Tim Seifert
Kunal Rathore
Moeen Ali
Manav Suthar
Raj Angad Bawa
Aman Khan
Daniel Sams
Anmolpreet Singh
Krishnappa Gowtham
Mohit Sharma
Dushmantha Chameera
Sheldon Jackson
Krunal Pandya
Harry Brook
V Satyanarayana Penmetsa
Mohammad Shami
David Warner
Josh Little
Jason Roy
Rajvardhan Hangargekar
Adil Rashid
Yudhvir Singh
Akash Deep
Faf Du Plessis
Sean Abbott
Mitchell Santner
Vyshak Vijaykumar
Zeeshan Ansari
Digvesh Singh
Praveen Dubey
Shreyas Gopal
Nitish Kumar Reddy
Marcus Stoinis
Shimron Hetmyer
David Willey
Tanush Kotian
Umesh Yadav
Shai Hope
B R Sharath
Andre Russell
Karan Sharma
Mitchell Starc
Dwayne Bravo
Ryan Rickelton
Atharva Taide
Asif K M
Sai Kishore
Siddarth Kaul
Dewald Brevis
Ben Stokes
Quinton De Kock
Evin Lewis
Harshal Patel
Khaleel Ahmed
Darshan Nalkande
Rashid Khan
Rasikh Dar
James Neesham
Harsh Dubey
Jasprit Bumrah
Raghav Goyal
Yudhvir Singh Charak
Jacob Bethell
Nitish Rana
Jofra Archer
Sanju Samson
Anukul Roy
Sameer Rizwi
Priyam Garg
Kagiso Rabada
Trent Boult
Aiden Markram
Naman Dhir
Yash Thakur
Abdul Basith
Ashwani Kumar
Rinku Singh
Ruturaj Gaikwad
Eshan Malinga
Jake Fraser-Mcgurk
Jagadeesha Suchith
Vijayakanth Viyaskanth
Bhuvneshwar Kumar
Prasidh Krishna
Ramandeep Singh
Ayush Badoni
Rohit Sharma
Ishan Kishan
Ishant Sharma
Rahmanullah Gurbaz
Phil Salt
Joe Root
Kamindu Mendis
Dasun Shanaka
Sanjay Yadav
Jaydev Unadkat
Yuzvendra Chahal
Angkrish Raghuvanshi
KL Rahul
Arjun Tendulkar
Mayank Markande
Keshav Maharaj
Rasikh Salam
Prerak Mankad
Reece Topley
T Natarajan
B Indrajith
Kuldeep Sen
Akash Madhwal
Suyash S Prabhudessai
Richard Gleeson
Kyle Jamieson
Simarjeet Singh
Josh Hazlewood
Duan Jansen
Harpreet Bhatia
Gurnoor Brar
Sam Billings
Vipraj Nigam
Dwaine Pretorius
Sherfane Rutherford
Cameron Green
Mandeep Singh
Prabhsimran Singh
Wiaan Mulder
Akash Singh
Azmatullah Omarzai
Arshad Khan
William O Rourke
Fazalhaq Farooqi
Mahipal Lomror
Liam Livingstone
Jason Behrendorff
Kulwant Khejroliya
Shams Mulani
Tim Southee
Mustafizur Rahman
Abhinav Manohar
Romario Shepherd
Sandeep Warrier
Chris Jordan
Ashton Turner
Yash Dayal
Ravichandran Ashwin
Bhanuka Rajapaksa
Deepak Hooda
Shahrukh Khan
Sikandar Raza
Luke Wood
Devon Conway
Michael Bracewell
Shashank Singh
Prithvi Shaw
Shaik Rasheed
Hrithik Shokeen
Jos Buttler
Shahbaz Ahmed
Karim Janat
Rassie van der Dussen
Jagadeesan Narayan
Sam Curran
Venkatesh Iyer
Mohammed Siraj
Vijay Shankar
Matheesha Pathirana
Adam Zampa
Sisanda Magala
Marco Jansen
Piyush Chawla
Abishek Porel
Sameer Rizvi
Mohammad Nabi
Glenn Phillips
Prashant Solanki
MS Dhoni
Matthew Breetzke
Harshit Rana
Wriddhiman Saha
Vidwath Kaverappa
Mitchell Marsh
Rishabh Pant
Wayne Parnell
Akeal Hosein
Saurav Chauhan
Liton Das
Mujeeb-ur-Rahman
Devdutt Padikkal
